Finance Year,Award Date,Fund,Programme Type,Recipient Org:Name,Title,Identifier,Amount Awarded,Scheme,Currency,Funding Org:Identifier,Funding Org:Name,Data source,Date modified
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Irish Traditional Music Archive,Lottery grant to Irish Traditional Music Archive (2014-2015),GB-ACNI-37ea64b2a4ec7bd09a68b0a21db4b95c,30000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Kabosh Theatre Ltd,Lottery grant to Kabosh Theatre Ltd (2014-2015),GB-ACNI-ec019e1c0759bb545bfe64e11840cdce,107454,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Kids in Control,Lottery grant to Kids in Control (2014-2015),GB-ACNI-c86e0c64de8fe9979aeaf43526892efc,50704,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Maiden Voyage (NI) Ltd,Lottery grant to Maiden Voyage (NI) Ltd (2014-2015),GB-ACNI-f93d12fdc1b6623fdb4cad5c3f64575d,91435,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,McCracken Cultural Society,Lottery grant to McCracken Cultural Society (2014-2015),GB-ACNI-d8882bc73559c6b957cee492a86db022,16490,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Millennium Court Arts Centre (Portadown 2000),Lottery grant to Millennium Court Arts Centre (Portadown 2000) (2014-2015),GB-ACNI-04ec519c516ad9bab3ef474879e45bbc,40000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Moving on Music,Lottery grant to Moving on Music (2014-2015),GB-ACNI-3bb0f97896669926eee43331b1d48ccc,110726,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Music Theatre 4 Youth Ltd,Lottery grant to Music Theatre 4 Youth Ltd (2014-2015),GB-ACNI-3b5846bc133993aa531e665942e9c075,35500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,New Belfast Community Arts Initiative T/A Community Arts Partnership,Exchequer grant to New Belfast Community Arts Initiative T/A Community Arts Partnership (2014-2015),GB-ACNI-fb5430250c78b0cad7078880408a941c,179311,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,New Lodge Arts,Lottery grant to New Lodge Arts (2014-2015),GB-ACNI-6131bb0ae4c8a719fa7e71c10c6d81c8,77600,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,NI Opera,Exchequer grant to NI Opera (2014-2015),GB-ACNI-b668507ce0e4d8759b2e8ae8981f3772,521569,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,North West Play Resource Centre (The Playhouse),Exchequer grant to North West Play Resource Centre (The Playhouse) (2014-2015),GB-ACNI-61f02635f354716bb6aa705197af483e,259012,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Northern Ireland Piping & Drumming School,Lottery grant to Northern Ireland Piping & Drumming School (2014-2015),GB-ACNI-c6396374d49cd7d8dd1afd677ba54449,35890,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Northern Visions Ltd.,Lottery grant to Northern Visions Ltd. (2014-2015),GB-ACNI-850303c8dc9868c9d87fe45af7a2dda4,102258,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Oh Yeah Music Centre,Lottery grant to Oh Yeah Music Centre (2014-2015),GB-ACNI-7bea8cb4f5ab573a6d4a20932b403a3e,45362,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Open Arts,Lottery grant to Open Arts (2014-2015),GB-ACNI-52b779c2687467b1bfd16e9071463468,98042,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Open House Festival,Lottery grant to Open House Festival (2014-2015),GB-ACNI-c1ba4eedff09dda19e63b1ae5e49f359,58200,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Orchid Studios Association,Exchequer grant to Orchid Studios Association (2014-2015),GB-ACNI-13f227f9b828be336685b7f316e8f2c5,14790,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Panarts,Lottery grant to Panarts (2014-2015),GB-ACNI-2e97c082b6c36fc018192f2c7135c52a,33555,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Paragon Studios,Exchequer grant to Paragon Studios (2014-2015),GB-ACNI-d32db6080e87f950917581dae0154fb3,20370,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Partisan Productions,Lottery grant to Partisan Productions (2014-2015),GB-ACNI-fc82e40dd5070c01dbc5fe589f89bdd7,37500,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Photo Works North / Source Magazine,Lottery grant to Photo Works North / Source Magazine (2014-2015),GB-ACNI-88d023e7469805e355142207a940411b,24000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
